Emotions,Path
surprise,./Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-02-01-01.wav
surprise,./Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-01-01-01.wav
angry,./Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-02-01-01.wav
fear,./Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-02-02-01.wav
fear,./Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-01-02-01.wav
angry,./Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-01-01-01.wav
disgust,./Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-01-01-01.wav
sad,./Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-01-02-01.wav
sad,./Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-02-02-01.wav
disgust,./Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-02-01-01.wav
happy,./Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-02-02-01.wav
happy,./Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-01-02-01.wav
calm,./Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-01-01.wav
neutral,./Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-02-01.wav
calm,./Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-01-01.wav
happy,./Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-01-01-01.wav
happy,./Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-02-01-01.wav
calm,./Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-02-02-01.wav
calm,./Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-02-01.wav
neutral,./Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-01-01.wav
surprise,./Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-01-02-01.wav
surprise,./Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-02-02-01.wav
fear,./Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-01-01-01.wav
angry,./Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-01-02-01.wav
angry,./Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-02-02-01.wav
fear,./Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-02-01-01.wav
sad,./Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-02-01-01.wav
disgust,./Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-02-02-01.wav
disgust,./Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-01-02-01.wav
sad,./Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-01-01-01.wav
calm,./Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-02-01.wav
neutral,./Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-01-01.wav
calm,./Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-02-01.wav
happy,./Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-01-01-01.wav
happy,./Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-02-01-01.wav
surprise,./Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-01-02-01.wav
surprise,./Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-02-02-01.wav
disgust,./Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-02-02-01.wav
sad,./Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-02-01-01.wav
sad,./Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-01-01-01.wav
disgust,./Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-01-02-01.wav
angry,./Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-01-02-01.wav
fear,./Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-01-01-01.wav
fear,./Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-02-01-01.wav
angry,./Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-02-02-01.wav
surprise,./Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-02-01-01.wav
surprise,./Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-01-01-01.wav
sad,./Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-01-02-01.wav
disgust,./Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-01-01-01.wav
disgust,./Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-02-01-01.wav
sad,./Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-02-02-01.wav
fear,./Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-02-02-01.wav
angry,./Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-02-01-01.wav
angry,./Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-01-01-01.wav
fear,./Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-01-02-01.wav
neutral,./Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-02-01.wav
calm,./Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-01-01.wav
calm,./Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-02-01-01.wav
happy,./Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-02-02-01.wav
happy,./Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-01-02-01.wav
fear,./Audio_Speech_Actors_01-24/Actor_02/03-01-06-01-02-02-02.wav
angry,./Audio_Speech_Actors_01-24/Actor_02/03-01-05-01-02-01-02.wav
angry,./Audio_Speech_Actors_01-24/Actor_02/03-01-05-02-01-01-02.wav
fear,./Audio_Speech_Actors_01-24/Actor_02/03-01-06-02-01-02-02.wav
sad,./Audio_Speech_Actors_01-24/Actor_02/03-01-04-01-01-02-02.wav
disgust,./Audio_Speech_Actors_01-24/Actor_02/03-01-07-01-01-01-02.wav
disgust,./Audio_Speech_Actors_01-24/Actor_02/03-01-07-02-02-01-02.wav
sad,./Audio_Speech_Actors_01-24/Actor_02/03-01-04-02-02-02-02.wav
surprise,./Audio_Speech_Actors_01-24/Actor_02/03-01-08-02-02-01-02.wav
surprise,./Audio_Speech_Actors_01-24/Actor_02/03-01-08-01-01-01-02.wav
happy,./Audio_Speech_Actors_01-24/Actor_02/03-01-03-02-02-02-02.wav
happy,./Audio_Speech_Actors_01-24/Actor_02/03-01-03-01-01-02-02.wav
calm,./Audio_Speech_Actors_01-24/Actor_02/03-01-02-02-01-01-02.wav
calm,./Audio_Speech_Actors_01-24/Actor_02/03-01-02-01-02-01-02.wav
neutral,./Audio_Speech_Actors_01-24/Actor_02/03-01-01-01-02-02-02.wav
happy,./Audio_Speech_Actors_01-24/Actor_02/03-01-03-02-01-01-02.wav
happy,./Audio_Speech_Actors_01-24/Actor_02/03-01-03-01-02-01-02.wav
calm,./Audio_Speech_Actors_01-24/Actor_02/03-01-02-02-02-02-02.wav
neutral,./Audio_Speech_Actors_01-24/Actor_02/03-01-01-01-01-01-02.wav
calm,./Audio_Speech_Actors_01-24/Actor_02/03-01-02-01-01-02-02.wav
angry,./Audio_Speech_Actors_01-24/Actor_02/03-01-05-01-01-02-02.wav
fear,./Audio_Speech_Actors_01-24/Actor_02/03-01-06-01-01-01-02.wav
fear,./Audio_Speech_Actors_01-24/Actor_02/03-01-06-02-02-01-02.wav
angry,./Audio_Speech_Actors_01-24/Actor_02/03-01-05-02-02-02-02.wav
disgust,./Audio_Speech_Actors_01-24/Actor_02/03-01-07-01-02-02-02.wav
sad,./Audio_Speech_Actors_01-24/Actor_02/03-01-04-01-02-01-02.wav
sad,./Audio_Speech_Actors_01-24/Actor_02/03-01-04-02-01-01-02.wav
disgust,./Audio_Speech_Actors_01-24/Actor_02/03-01-07-02-01-02-02.wav
surprise,./Audio_Speech_Actors_01-24/Actor_02/03-01-08-02-01-02-02.wav
surprise,./Audio_Speech_Actors_01-24/Actor_02/03-01-08-01-02-02-02.wav
neutral,./Audio_Speech_Actors_01-24/Actor_02/03-01-01-01-02-01-02.wav
calm,./Audio_Speech_Actors_01-24/Actor_02/03-01-02-01-02-02-02.wav
calm,./Audio_Speech_Actors_01-24/Actor_02/03-01-02-02-01-02-02.wav
happy,./Audio_Speech_Actors_01-24/Actor_02/03-01-03-01-01-01-02.wav
happy,./Audio_Speech_Actors_01-24/Actor_02/03-01-03-02-02-01-02.wav
sad,./Audio_Speech_Actors_01-24/Actor_02/03-01-04-02-02-01-02.wav
disgust,./Audio_Speech_Actors_01-24/Actor_02/03-01-07-02-02-02-02.wav
disgust,./Audio_Speech_Actors_01-24/Actor_02/03-01-07-01-01-02-02.wav
sad,./Audio_Speech_Actors_01-24/Actor_02/03-01-04-01-01-01-02.wav
fear,./Audio_Speech_Actors_01-24/Actor_02/03-01-06-02-01-01-02.wav
angry,./Audio_Speech_Actors_01-24/Actor_02/03-01-05-02-01-02-02.wav
angry,./Audio_Speech_Actors_01-24/Actor_02/03-01-05-01-02-02-02.wav
fear,./Audio_Speech_Actors_01-24/Actor_02/03-01-06-01-02-01-02.wav
surprise,./Audio_Speech_Actors_01-24/Actor_02/03-01-08-01-01-02-02.wav
surprise,./Audio_Speech_Actors_01-24/Actor_02/03-01-08-02-02-02-02.wav
disgust,./Audio_Speech_Actors_01-24/Actor_02/03-01-07-02-01-01-02.wav
sad,./Audio_Speech_Actors_01-24/Actor_02/03-01-04-02-01-02-02.wav
sad,./Audio_Speech_Actors_01-24/Actor_02/03-01-04-01-02-02-02.wav
disgust,./Audio_Speech_Actors_01-24/Actor_02/03-01-07-01-02-01-02.wav
angry,./Audio_Speech_Actors_01-24/Actor_02/03-01-05-02-02-01-02.wav
fear,./Audio_Speech_Actors_01-24/Actor_02/03-01-06-02-02-02-02.wav
fear,./Audio_Speech_Actors_01-24/Actor_02/03-01-06-01-01-02-02.wav
angry,./Audio_Speech_Actors_01-24/Actor_02/03-01-05-01-01-01-02.wav
surprise,./Audio_Speech_Actors_01-24/Actor_02/03-01-08-01-02-01-02.wav
surprise,./Audio_Speech_Actors_01-24/Actor_02/03-01-08-02-01-01-02.wav
calm,./Audio_Speech_Actors_01-24/Actor_02/03-01-02-01-01-01-02.wav
neutral,./Audio_Speech_Actors_01-24/Actor_02/03-01-01-01-01-02-02.wav
calm,./Audio_Speech_Actors_01-24/Actor_02/03-01-02-02-02-01-02.wav
happy,./Audio_Speech_Actors_01-24/Actor_02/03-01-03-01-02-02-02.wav
happy,./Audio_Speech_Actors_01-24/Actor_02/03-01-03-02-01-02-02.wav
sad,./Audio_Speech_Actors_01-24/Actor_03/03-01-04-02-02-02-03.wav
disgust,./Audio_Speech_Actors_01-24/Actor_03/03-01-07-02-02-01-03.wav
disgust,./Audio_Speech_Actors_01-24/Actor_03/03-01-07-01-01-01-03.wav
sad,./Audio_Speech_Actors_01-24/Actor_03/03-01-04-01-01-02-03.wav
fear,./Audio_Speech_Actors_01-24/Actor_03/03-01-06-02-01-02-03.wav
angry,./Audio_Speech_Actors_01-24/Actor_03/03-01-05-02-01-01-03.wav
angry,./Audio_Speech_Actors_01-24/Actor_03/03-01-05-01-02-01-03.wav
fear,./Audio_Speech_Actors_01-24/Actor_03/03-01-06-01-02-02-03.wav
surprise,./Audio_Speech_Actors_01-24/Actor_03/03-01-08-01-01-01-03.wav
